id,record_group_id,name,description,language,translated_to_en,category,subcategory,created_at,user_id,product,channel,priority,region,duplicate_type
338,60,登录问题 / লগইন সমস্যা,与登录问题 / লগইন সমস্যা相关的问题,Chinese,Login issue,Sales,Renewal,2025-06-11 21:15:28.379978,c01ace09,HelpDesk,Social Media,2,Iberia,cross_lang
11765,2110,Ошибка сети,Пользователь сообщил: Ошибка сети,Russian,Network error,IT,Hardware,2026-03-29 21:15:28.483386,73149962,AppX,IVR,3,Scandinavia,original
2613,471,ادائیگی ناکام ہوگئی...,ادائیگی ناکام ہوگئی... سے متعلق مسئلہ,Urdu,Payment failed,Operations,Returns,2025-05-28 21:15:28.404773,c469ae6d,AppX,Webhook,4,Sub-Saharan Africa,noise
13721,2464,Desempenho lento@@,Problema relacionado a Desempenho lento@@,Portuguese,Slow performance,Support,Account,2025-12-07 21:15:28.518568,788bcd20,NetConnect,Email,1,Latin America,noise
1793,332,账户问访被拒绝,与账户问访被拒绝相关的问题,Chinese,Account access denied,Finance,Transaction,2025-06-18 21:15:28.396318,7f8ef8ee,HelpDesk,API,4,East Asia,typo
2520,455,Utendaji wa polepole,Tatizo linalohusiana na Utendaji wa polepole,Swahili,Slow performance,IT,DevOps,2025-05-01 21:15:28.402994,744b97e6,RuleEngine,Chat,3,Middle East,original
2183,396,Проблема со входом,Проблема связана с Проблема со входом,Russian,Login issue,Operations,Quality,2025-06-02 21:15:28.400318,14d9ab8e,WorkflowAI,In-App,5,Asia,paraphrase
20790,-1,नेटवर्क त्रुटि,ग्राहक ने रिपोर्ट किया: भुगतान विफल हो गया,Hindi,different,IT,Network,2025-12-21 21:15:28.591128,b484391a,MonitorX,Webhook,3,Asia,hard_negative
11001,1977,ปัญหาการเข้าสู่ระบบ,ผู้ใช้รายงาน: ปัญหาการเข้าสู่ระบบ,Thai,Login issue,Sales,Forecast,2025-10-18 21:15:28.483386,dc8dd197,SecureLogin,Mobile,3,Caribbean,original
185,32,Problema de atualização de software@@,Problema relacionado a Problema de atualização de software@@,Portuguese,Software update issue,IT,Infrastructure,2025-11-19 21:15:28.378963,94542e14,SecureLogin,Email,4,Central Asia,noise
17828,3218,Erro de rede,Problema relacionado a Erro de rede,Portuguese,Network error,HR,Performance,2026-03-06 21:15:28.571437,4e8aff89,NetConnect,Tablet,5,Central Asia,noise
19954,-1,Hardwarestoring,Gebruiker meldde: Datasynchronisatieprobleem,Dutch,different,IT,Network,2025-12-08 21:15:28.591128,2ab57ffe,BackupNow,Call,3,Iberia,hard_negative
17802,3213,रोलबैक आवश्यक,ग्राहक ने रिपोर्ट किया: रोलबैक आवश्यक,Hindi,Software update issue,Support,Escalation,2026-04-13 21:15:28.571437,f4279224,AdminPanel,Chat,5,Asia,abbreviation
5080,914,Truy cập tài khoản bị từ chối,Van de lien quan den Truy cập tài khoản bị từ chối,Vietnamese,Account access denied,Operations,Returns,2025-05-25 21:15:28.429330,e3bd78a2,SecureLogin,Browser Extension,2,Scandinavia,original
998,182,لاگ ان مسئلہ / Olvidé mis credenciales,صارف نے رپورٹ کیا: لاگ ان مسئلہ / Olvidé mis credenciales,Urdu,Login issue,Finance,Refund,2025-12-13 21:15:28.386781,31f68c28,RuleEngine,Desktop App,4,Balkans,cross_lang
6803,1231,Laptop not working / Máy tính xách tay không hoạt động,Issue related to Laptop not working / Máy tính xách tay không hoạt động,English,Laptop not working,Sales,Lead,2025-10-17 21:15:28.445790,9d995384,APIHub,API,1,Middle East,cross_lang
10270,1847,Datensynchronisierungsproblem,Kunde meldet: Datensynchronisierungsproblem,German,Data sync issue,Finance,Payment,2025-07-25 21:15:28.481441,88247860,NotifyMe,Social Media,5,Latin America,abbreviation
9553,1717,عطل في الأجهزة,أبلغ العميل عن: عطل في الأجهزة,Arabic,Hardware malfunction,Support,Ticket,2025-05-26 21:15:28.474628,07afe90c,HelpDesk,In-App,3,Iberia,noise
8137,1462,Software-updateprobleem hai,Probleem gerelateerd aan Software-updateprobleem hai,Dutch,Software update issue,Finance,Billing,2026-02-03 21:15:28.460257,439c8349,ChatBot,IVR,5,East Europe,codemix
20925,-1,Kontozugriff verweigert,Problem im Zusammenhang mit Netzwerkfehler,German,different,IT,Network,2025-11-12 21:15:28.591128,87da3fe1,HelpDesk,SMS,5,Oceania,hard_negative
13446,2413,Aplikasi err,Pengguna melaporkan: Aplikasi err,Indonesian,App crashing,Support,Account,2026-03-02 21:15:28.511541,1b56e0b6,SchedulerX,Web,5,Sub-Saharan Africa,abbreviation
19589,-1,クラウド同期失敗,アカウントがロックされた に関連する問題,Japanese,different,IT,Network,2025-07-25 21:15:28.577591,01422e80,BillingPro,Chatbot,3,South Asia,hard_negative
6591,1191,مشكلة في مزامنة البيانات hai,مشكلة مرتبطة بـ مشكلة في مزامنة البيانات hai,Arabic,Data sync issue,Support,Password,2025-08-03 21:15:28.443784,0d78bfff,AssetTrack,Mobile,1,Asia,codemix
19514,-1,Kompyuta ndogo haifanyi kazi,Tatizo linalohusiana na Tatizo la usasishaji wa programu,Swahili,different,IT,Network,2026-01-24 21:15:28.577591,a4a6f765,IntegrationBus,In-App,5,Oceania,hard_negative
20504,-1,Низкая производительность,Проблема связана с Проблема обновления ПО,Russian,different,IT,Network,2025-05-29 21:15:28.591128,95d63df3,AdminPanel,Mobile,3,North Africa,hard_negative
2797,503,Kinerja lambat / アプリがもたつく,Masalah terkait Kinerja lambat / アプリがもたつく,Indonesian,Slow performance,Operations,Quality,2025-12-17 21:15:28.405201,f520583a,AppX,Teams,3,Scandinavia,cross_lang
20439,-1,アプリがクラッシュする,アカウントがロックされた に関連する問題,Japanese,different,IT,Network,2025-05-11 21:15:28.591128,500863b7,TicketMaster,Chatbot,2,South Asia,hard_negative
7380,1331,Низкая производительность / Yavaş performans,Проблема связана с Низкая производительность / Yavaş performans,Russian,Slow performance,IT,Monitoring,2025-09-16 21:15:28.451412,da84886b,UserPortal,Browser Extension,3,Central Asia,cross_lang
14670,2640,Доступ к аккаунту запрещён,Проблема связана с Доступ к аккаунту запрещён,Russian,Account access denied,IT,Hardware,2025-04-15 21:15:28.529668,559187c5,SchedulerX,Social Media,2,Iberia,original
21212,-1,데이터 동기화 문제,네트워크 오류 관련 문제,Korean,different,IT,Network,2026-02-05 21:15:28.591128,cdb6db91,DataSync,Telegram,5,North America,hard_negative
1828,337,Problema di aggiornamento software hai,Problema relativo a Problema di aggiornamento software hai,Italian,Software update issue,HR,Recruitment,2025-10-17 21:15:28.396318,75821ad2,AuditLog,Email,3,Middle East,codemix
3050,549,Проблема со входом مشكلة,Проблема связана с Проблема со входом مشكلة,Russian,Login issue,Operations,Returns,2026-01-25 21:15:28.405201,d8e32342,DataSync,Webhook,4,West Europe,codemix
13790,2476,ข้อผิดพลาดเครือข่าย@@,ผู้ใช้รายงาน: ข้อผิดพลาดเครือข่าย@@,Thai,Network error,Operations,Compliance,2025-06-02 21:15:28.518568,9afbe849,UserPortal,Call,5,East Asia,noise
18101,3267,Kompyuta ndogo haifanyi kazi,Mtumiaji ameripoti: Kompyuta ndogo haifanyi kazi,Swahili,Laptop not working,HR,Onboarding,2025-12-08 21:15:28.573446,02693f65,DataSync,WhatsApp,3,Scandinavia,original
13737,2466,الإتنرنت بطيء,مشكلة مرتبطة بـ الإتنرنت بطيء,Arabic,Network error,Operations,Compliance,2025-06-07 21:15:28.518568,7edefbfd,SchedulerX,Desktop App,3,Central Asia,typo
1143,208,Problema di aggiornamento software,Cliente segnala: Problema di aggiornamento software,Italian,Software update issue,Sales,CRM,2025-08-23 21:15:28.386781,4d9b988c,MonitorX,API,1,Balkans,abbreviation
10290,1850,Tatizo la usasishaji wa programu hai,Mtumiaji ameripoti: Tatizo la usasishaji wa programu hai,Swahili,Software update issue,Support,Ticket,2026-03-30 21:15:28.481441,92b4a3b9,CloudVault,Social Media,4,Oceania,codemix
5819,1047,Masalah sinkronisasi data,Masalah terkait Masalah sinkronisasi data,Indonesian,Data sync issue,Operations,Compliance,2025-10-31 21:15:28.436407,17949c26,PayFlow,Email,3,Americas,original
3963,712,Update failed,Issue related to Update failed,English,Software update issue,IT,Hardware,2025-08-25 21:15:28.418220,d35799e1,SecureLogin,Browser Extension,3,South Asia,noise
7298,1319,Accès au compte refusé مشكلة,Probleme lie a Accès au compte refusé مشكلة,French,Account access denied,IT,Cloud,2026-03-17 21:15:28.450789,2978a921,DataSync,Web,3,Asia,codemix
3514,633,Pagamento fallito,Problema relativo a Pagamento fallito,Italian,Payment failed,Operations,Procurement,2026-02-27 21:15:28.413220,f8396801,ReportGen,API,2,Asia,abbreviation
19038,3438,Malfunzionamento hardware / Scanner error,Problema relativo a Malfunzionamento hardware / Scanner error,Italian,Hardware malfunction,Sales,Opportunity,2026-02-01 21:15:28.577591,ff5654c8,ChatBot,Telegram,2,Latin America,cross_lang
5608,1007,L'ordinateur portable ne fonctionne pas / Laptop werkt niet,Probleme lie a L'ordinateur portable ne fonctionne pas / Laptop werkt niet,French,Laptop not working,IT,Database,2026-02-05 21:15:28.434609,1de6a7af,WorkflowAI,Chat,5,Balkans,cross_lang
13392,2402,Network error!!!,Issue related to Network error!!!,English,Network error,HR,Onboarding,2025-08-30 21:15:28.511541,031cedd0,PayFlow,Email,2,Iberia,noise
16994,3065,Laptop funktioniert nicht / Laptop werkt niet,Kunde meldet: Laptop funktioniert nicht / Laptop werkt niet,German,Laptop not working,Finance,Subscription,2025-12-28 21:15:28.563395,058283bf,ComplianceKit,IVR,1,South Asia,cross_lang
16484,2973,CPU占用高,用户反馈：CPU占用高,Chinese,Slow performance,HR,Onboarding,2025-06-18 21:15:28.548603,2d2ad839,ReportGen,API,3,Central Asia,paraphrase
18370,3320,Problema di sincronizzazione dati,Problema relativo a Problema di sincronizzazione dati,Italian,Data sync issue,Sales,Discount,2026-01-15 21:15:28.577591,48c5b82a,SchedulerX,Slack,2,Southeast Asia,abbreviation
14822,2667,Lỗi phần cứng,Van de lien quan den Lỗi phần cứng,Vietnamese,Hardware malfunction,IT,Hardware,2025-07-30 21:15:28.531677,1bda823b,CloudVault,Kiosk,1,East Europe,abbreviation
21017,-1,应用意外关闭,与无法登录相关的问题,Chinese,different,IT,Network,2026-01-13 21:15:28.591128,089d1395,IntegrationBus,Teams,3,Africa,hard_negative
3739,675,Lỗi phần cứng...,Nguoi dung bao cao: Lỗi phần cứng...,Vietnamese,Hardware malfunction,IT,Hardware,2025-07-13 21:15:28.415219,fd6b87fe,NotifyMe,Teams,3,Asia,noise
18365,3319,打印机不工作 مشكلة,用户反馈：打印机不工作 مشكلة,Chinese,Hardware malfunction,Operations,Inventory,2026-02-20 21:15:28.575193,203d9adb,WorkflowAI,Chatbot,5,Sub-Saharan Africa,codemix
5132,922,Account access denied,Reported problem: Account access denied,English,Account access denied,HR,Training,2025-06-21 21:15:28.429330,bbdda4f3,AdminPanel,Call,3,Central Asia,abbreviation
3187,573,L'app sib locca,Problema relativo a L'app sib locca,Italian,App crashing,Support,Ticket,2026-03-10 21:15:28.405201,1345fd9f,FlowEngine,WhatsApp,2,Asia,typo
18344,3315,Uygulam açöküyor,Kullanici bildirdi: Uygulam açöküyor,Turkish,App crashing,Finance,Ledger,2025-06-25 21:15:28.575193,23d4793d,BillingPro,SMS,1,North Africa,typo
13986,2511,পেমেন্ট ব্যর্থ হয়েছে مشكلة,ব্যবহারকারী রিপোর্ট করেছেন: পেমেন্ট ব্যর্থ হয়েছে مشكلة,Bengali,Payment failed,Finance,Ledger,2025-07-02 21:15:28.519828,dbdac571,NotifyMe,Social Media,4,Southeast Asia,codemix
10354,1860,Ağ hatası??,Kullanici bildirdi: Ağ hatası??,Turkish,Network error,Finance,Fraud,2025-06-21 21:15:28.481441,02b3f742,BackupNow,Teams,2,South Asia,noise
1177,215,Tatizo la usawazishaji wa data / ปัญหาการซิงค์ข้อมูล,Tatizo linalohusiana na Tatizo la usawazishaji wa data / ปัญหาการซิงค์ข้อมูล,Swahili,Data sync issue,Support,Password,2025-04-14 21:15:28.386781,c1ee586b,BillingPro,WhatsApp,2,Iberia,cross_lang
7451,1344,แล็ปท็อปไม่ทำงาน,ผู้ใช้รายงาน: แล็ปท็อปไม่ทำงาน,Thai,Laptop not working,Support,Profile,2025-09-08 21:15:28.452600,cfa13187,AssetTrack,Call,5,Sub-Saharan Africa,original
4971,892,App strüzt ab,Problem im Zusammenhang mit App strüzt ab,German,App crashing,Support,Access,2025-06-12 21:15:28.428186,84872f9b,APIHub,Browser Extension,3,Sub-Saharan Africa,typo
256,44,屏幕冻结,与屏幕冻结相关的问题,Chinese,Slow performance,Operations,Supply Chain,2025-07-24 21:15:28.378963,77dfea6c,FormBuilder,Call,3,Americas,noise
347,62,ログインの問題!!!,ログインの問題!!! に関連する問題,Japanese,Login issue,HR,Exit,2025-08-08 21:15:28.379978,19140e9a,NetConnect,Chat,3,Middle East,noise
9246,1662,Kerusakan perangkat keras,Masalah terkait Kerusakan perangkat keras,Indonesian,Hardware malfunction,Finance,Tax,2025-10-02 21:15:28.471536,5cd76532,RoleManager,Web,4,Oceania,original
8676,1557,Problema di sincronizzazione dati مشكلة,Cliente segnala: Problema di sincronizzazione dati مشكلة,Italian,Data sync issue,Operations,Supply Chain,2026-01-01 21:15:28.460257,edff0105,APIHub,Slack,1,Latin America,codemix
14954,2692,Problema de login,Problema relacionado a Problema de login,Portuguese,Login issue,Finance,Transaction,2025-04-24 21:15:28.533687,cbfc47fe,FlowEngine,Desktop App,2,Africa,original
18949,3421,不正アクセス,ユーザー報告: 不正アクセス,Japanese,Account access denied,Support,Login,2025-10-18 21:15:28.577591,8f6d11b7,TicketMaster,Teams,2,Europe,paraphrase
9535,1714,Problema de login@@,Cliente reportou: Problema de login@@,Portuguese,Login issue,Support,Account,2025-11-07 21:15:28.474628,3d057a8f,SecureLogin,Social Media,3,Asia,noise
16543,2984,ैलपटॉप काम नहीं कर रहा,ग्राहक ने रिपोर्ट किया: ैलपटॉप काम नहीं कर रहा,Hindi,Laptop not working,Finance,Payment,2025-04-19 21:15:28.548603,a94cfd89,ReportGen,Call,5,Scandinavia,typo
17953,3240,Laptop werkt niet / الكمبيوتر المحمول لا يعمل,Probleem gerelateerd aan Laptop werkt niet / الكمبيوتر المحمول لا يعمل,Dutch,Laptop not working,HR,Payroll,2025-07-03 21:15:28.571437,8b9574c1,WorkflowAI,Browser Extension,3,North Africa,cross_lang
11935,2138,ประสิทธิภาพช้า,ปัญหาที่เกี่ยวข้องกับ ประสิทธิภาพช้า,Thai,Slow performance,Finance,Refund,2025-11-18 21:15:28.483386,04597103,MonitorX,Telegram,5,East Asia,paraphrase
19114,3453,笔记本电脑故障 مشكلة,与笔记本电脑故障 مشكلة相关的问题,Chinese,Laptop not working,HR,Onboarding,2025-10-16 21:15:28.577591,61ef907c,HelpDesk,API,3,Asia,codemix
21107,-1,Delayed response,Issue related to Crash error,English,different,IT,Network,2025-07-17 21:15:28.591128,cb33691d,HelpDesk,Telegram,3,West Europe,hard_negative
11808,2117,Driver update error,Issue related to Driver update error,English,Software update issue,Support,Account,2025-05-13 21:15:28.483386,5537a26d,InsightDash,SMS,2,North America,original
18409,3326,Masalah sinkronisasi data / モバイル同期エラー,Masalah terkait Masalah sinkronisasi data / モバイル同期エラー,Indonesian,Data sync issue,Finance,Payment,2026-02-01 21:15:28.577591,a295470a,UserPortal,Webhook,2,Iberia,cross_lang
2990,537,Mouse not responding,Customer reported: Mouse not responding,English,Hardware malfunction,IT,Network,2025-05-29 21:15:28.405201,344a4224,PayFlow,Chatbot,2,North Africa,paraphrase
16240,2930,Akses akun ditolak / Kontozugriff verweigert,Masalah terkait Akses akun ditolak / Kontozugriff verweigert,Indonesian,Account access denied,HR,Performance,2026-02-08 21:15:28.548603,e83dff00,TicketMaster,Web,4,Europe,cross_lang
3808,687,Error de red / 네트워크 오류,Cliente reporta: Error de red / 네트워크 오류,Spanish,Network error,Finance,Audit,2025-09-04 21:15:28.416223,3d898219,ChatBot,Webhook,3,Oceania,cross_lang
11544,2070,Malfunzionamento hardware,Problema relativo a Malfunzionamento hardware,Italian,Hardware malfunction,HR,Onboarding,2026-01-22 21:15:28.483386,317e81d6,PayFlow,Kiosk,1,Oceania,paraphrase
13388,2402,Network error مشكلة,Reported problem: Network error مشكلة,English,Network error,Finance,Invoice,2026-02-13 21:15:28.511541,43f8edf3,RoleManager,Telegram,2,Balkans,codemix
18623,3365,Problemad i accesso,Cliente segnala: Problemad i accesso,Italian,Login issue,Finance,Payment,2025-06-01 21:15:28.577591,4f193bb5,TicketMaster,Kiosk,5,Middle East,typo
21152,-1,Aplikasi error,Masalah terkait Masalah pembaruan perangkat lunak,Indonesian,different,IT,Network,2025-11-27 21:15:28.591128,70074241,AssetTrack,Call,1,North America,hard_negative
1708,318,ネトッワークエラー,ユーザー報告: ネトッワークエラー,Japanese,Network error,HR,Performance,2025-09-03 21:15:28.395302,d922b2a9,FlowEngine,IVR,1,Latin America,typo
14656,2637,Datasynchronisatieprobleem,Probleem gerelateerd aan Datasynchronisatieprobleem,Dutch,Data sync issue,Sales,Commission,2025-06-07 21:15:28.529668,2352f554,ComplianceKit,Chatbot,4,North America,paraphrase
11677,2094,Datensynchronisierungsproblem!!!,Kunde meldet: Datensynchronisierungsproblem!!!,German,Data sync issue,Support,Account,2025-09-13 21:15:28.483386,304fd251,CloudVault,Chatbot,5,South Asia,noise
18385,3322,سست کارکردگی,سست کارکردگی سے متعلق مسئلہ,Urdu,Slow performance,Operations,Quality,2025-05-02 21:15:28.577591,167f417d,ChatBot,Teams,2,East Europe,paraphrase
14487,2607,अपडेट लूप hai,समस्या अपडेट लूप hai से संबंधित है,Hindi,Software update issue,Support,Access,2025-08-08 21:15:28.526645,57e0158a,AppX,API,4,Iberia,codemix
9963,1791,Máy tính xách tay không hoạt động,Van de lien quan den Máy tính xách tay không hoạt động,Vietnamese,Laptop not working,HR,Payroll,2025-07-16 21:15:28.477766,826aaca8,SecureLogin,Telegram,4,West Europe,paraphrase
2101,383,การชำระเงินล้มเหลว,ผู้ใช้รายงาน: การชำระเงินล้มเหลว,Thai,Payment failed,Support,Access,2025-07-15 21:15:28.399318,95f90a7e,TicketMaster,Teams,2,Oceania,paraphrase
11725,2102,Datensynchronisierungsproblem,Kunde meldet: Datensynchronisierungsproblem,German,Data sync issue,Finance,Invoice,2026-03-25 21:15:28.483386,1cf7e6a5,UserPortal,Email,1,Balkans,paraphrase
14907,2684,Donanım arızası,Donanım arızası ile ilgili sorun,Turkish,Hardware malfunction,Sales,Commission,2026-03-25 21:15:28.533687,51c974f9,IntegrationBus,Chatbot,3,Iberia,original
19511,-1,Hitilafu ya mtandao,Tatizo linalohusiana na Utendaji wa polepole,Swahili,different,IT,Network,2025-09-25 21:15:28.577591,519d81e5,TicketMaster,Mobile,5,North Africa,hard_negative
12439,2227,Data sync issue,Customer reported: Data sync issue,English,Data sync issue,Finance,Refund,2026-04-10 21:15:28.502480,fac49629,RuleEngine,IVR,2,Sub-Saharan Africa,original
19850,-1,ネットワークエラー,ユーザー報告: ログインの問題,Japanese,different,IT,Network,2026-03-10 21:15:28.591128,7b6be0a8,SecureLogin,Call,4,Iberia,hard_negative
19046,3439,Проблема обновления ПО,Пользователь сообщил: Проблема обновления ПО,Russian,Software update issue,Sales,Discount,2026-03-15 21:15:28.577591,79c03eb0,ReportGen,Desktop App,5,South Asia,paraphrase
1825,336,অ্যাপ ক্র্যাশ হচ্ছে / アプリが応答しない,ব্যবহারকারী রিপোর্ট করেছেন: অ্যাপ ক্র্যাশ হচ্ছে / アプリが応答しない,Bengali,App crashing,HR,Training,2025-07-07 21:15:28.396318,7a6db6a8,AssetTrack,SMS,4,North Africa,cross_lang
11781,2113,App crasht,Gebruiker meldde: App crasht,Dutch,App crashing,IT,Hardware,2025-07-23 21:15:28.483386,4ddeb34b,DataSync,Kiosk,3,North Africa,abbreviation
13754,2470,IP blqoueada,Problema relacionado con IP blqoueada,Spanish,Account access denied,HR,Performance,2026-01-01 21:15:28.518568,fdd42d6f,BackupNow,Mobile,5,Central Asia,typo
4877,875,노트북이작 동하지 않음,노트북이작 동하지 않음 관련 문제,Korean,Laptop not working,Support,Ticket,2025-09-11 21:15:28.427188,e61aa584,PayFlow,Desktop App,4,West Europe,typo
12456,2229,Laptop funktioniert nicht,Kunde meldet: Laptop funktioniert nicht,German,Laptop not working,Operations,Vendor,2026-04-05 21:15:28.502480,c94c9512,TicketMaster,Slack,1,Central Asia,original
3043,547,Performance lente,Probleme lie a Performance lente,French,Slow performance,Sales,Renewal,2025-07-16 21:15:28.405201,707bbf27,IntegrationBus,WhatsApp,2,Central Asia,original
11521,2066,Dizüstü bilgisayar çalışmıyor,Kullanici bildirdi: Dizüstü bilgisayar çalışmıyor,Turkish,Laptop not working,Finance,Payment,2025-06-08 21:15:28.483386,4af1f6a7,MonitorX,Chatbot,5,Middle East,paraphrase
6934,1255,ปัญหาการเข้าสู่ระบบ#,ผู้ใช้รายงาน: ปัญหาการเข้าสู่ระบบ#,Thai,Login issue,Finance,Ledger,2025-10-16 21:15:28.446792,6290f8da,AppX,Social Media,3,Iberia,noise
2986,536,应用崩溃,与应用崩溃相关的问题,Chinese,App crashing,Operations,Quality,2025-09-12 21:15:28.405201,23be054e,RoleManager,Web,3,Central Asia,original
8351,1500,Erreur réseau,Probleme lie a Erreur réseau,French,Network error,Sales,Discount,2025-05-29 21:15:28.460257,f538365a,SecureLogin,Mobile,4,Middle East,paraphrase
3024,543,Zahlung fehlgeschlagen / فشل الدفع,Kunde meldet: Zahlung fehlgeschlagen / فشل الدفع,German,Payment failed,Operations,Returns,2025-04-13 21:15:28.405201,0f07cb82,FormBuilder,Call,5,North America,cross_lang
17971,3244,Il laptop non funziona,Problema relativo a Il laptop non funziona,Italian,Laptop not working,Sales,CRM,2025-07-16 21:15:28.571437,ab30754a,NotifyMe,Call,1,Scandinavia,original
21104,-1,登录问题,用户反馈：同步循环,Chinese,different,IT,Network,2025-08-27 21:15:28.591128,2fc2920c,NotifyMe,Email,2,Iberia,hard_negative
10347,1859,Veri senkronizasyon sorunu مشكلة,Kullanici bildirdi: Veri senkronizasyon sorunu مشكلة,Turkish,Data sync issue,Support,Access,2025-07-08 21:15:28.481441,79d4795d,FormBuilder,Browser Extension,2,North Africa,codemix
7932,1427,Toegang tot account geweigerd...,Gebruiker meldde: Toegang tot account geweigerd...,Dutch,Account access denied,Sales,Renewal,2025-11-10 21:15:28.459251,8797a7ce,AdminPanel,Kiosk,2,West Europe,noise
8847,1589,Datasynchronisatieprobleem,Gebruiker meldde: Datasynchronisatieprobleem,Dutch,Data sync issue,Operations,Procurement,2025-10-29 21:15:28.460257,6c1df82e,AssetTrack,WhatsApp,4,Balkans,abbreviation
10984,1973,결제 실패#,결제 실패# 관련 문제,Korean,Payment failed,Support,Notification,2026-01-24 21:15:28.483386,a66fba80,RoleManager,API,4,Sub-Saharan Africa,noise
15636,2820,계정 접근 거부,계정 접근 거부 관련 문제,Korean,Account access denied,Operations,Procurement,2025-12-13 21:15:28.543475,2d10de47,AdminPanel,Chat,3,Latin America,original
8929,1604,强制关闭,与强制关闭相关的问题,Chinese,App crashing,HR,Performance,2025-12-30 21:15:28.460257,b4ece926,AuthGuard,API,3,West Europe,abbreviation
520,91,Prestazioni lente,Cliente segnala: Prestazioni lente,Italian,Slow performance,HR,Leave,2026-01-31 21:15:28.381370,9b78e537,RuleEngine,IVR,3,Iberia,abbreviation
15389,2773,Problème de synchronisation / Lỗi đồng bộ dữ liệu,Probleme lie a Problème de synchronisation / Lỗi đồng bộ dữ liệu,French,Data sync issue,Finance,Refund,2025-09-21 21:15:28.539717,7b691d22,ReportGen,Teams,3,Central Asia,cross_lang
8507,1527,ڈیٹا سنک مسئلہ,ڈیٹا سنک مسئلہ سے متعلق مسئلہ,Urdu,Data sync issue,HR,Exit,2025-05-18 21:15:28.460257,6fe7da43,CloudVault,Teams,5,Oceania,paraphrase
14592,2627,Lỗi mạgn,Van de lien quan den Lỗi mạgn,Vietnamese,Network error,IT,DevOps,2025-05-25 21:15:28.527657,4102f21b,TicketMaster,API,3,Europe,typo
1633,305,Laptop tidak berfungsi,Pengguna melaporkan: Laptop tidak berfungsi,Indonesian,Laptop not working,Support,Account,2025-09-08 21:15:28.394261,f34ba733,NotifyMe,IVR,3,South Asia,paraphrase
16351,2950,Lagging interface#,Issue related to Lagging interface#,English,Slow performance,IT,Database,2026-01-24 21:15:28.548603,d7deab59,SecureLogin,Email,2,Caribbean,noise
8554,1535,Uygulama çöküyor hai,Kullanici bildirdi: Uygulama çöküyor hai,Turkish,App crashing,Operations,Dispatch,2025-07-03 21:15:28.460257,079c0aa5,RoleManager,In-App,4,Southeast Asia,codemix
