id,name,language,category,duplicate_type,cluster_id
36,Ergonomic Office Chair Mesh,en,Furniture,Abbreviation/Phonetic,6
17,Mechanical Keybaord Blue Switches,en,Computers,Typo,3
57,バーチャルリアリティヘッドセット Pro,ja,Gaming,Exact Translation,10
35,Ergonomic Ofifce Chair Mesh,en,Furniture,Typo,6
8,Auriculares con Cancelación de Ruido 700,es,Audio,Exact Translation,2
44,Zapatillas de Running Hombre Talla 10,es,Apparel,Exact Translation,8
67,4k ultra hd スマートテレビ 2023,ja,Mixed,Formatting,-1
71,casque réduction bruit 700 2022,fr,Mixed,Formatting,-1
28,Smart TV 4K Ultra Haute Définition,fr,TV/Video,Exact Translation,5
20,Teléfono Inteligente 128GB Negro,es,Mobiles,Exact Translation,4
86,smart tv 4k ultra haute définition 2022,fr,Mixed,Formatting,-1
91,wireless gaming mouse rgb 2024,en,Mixed,Formatting,-1
26,Smart TV 4K Ultra HD,es,TV/Video,Exact Translation,5
70,casque réalité virtuelle pro 2022,fr,Mixed,Formatting,-1
50,Botella de Agua de Acero Inoxidable 32oz,es,Kitchen,Exact Translation,9
14,Teclado Mecánico Switches Azules,es,Computers,Exact Translation,3
25,4K Ultra HD Smart TV,en,TV/Video,Original,5
4,Souris Gamer Sans Fil RGB,fr,Electronics,Exact Translation,1
18,Mechanical Keyboard Blue Switches,en,Computers,Abbreviation/Phonetic,3
39,防水 Bluetooth スピーカー,ja,Audio,Exact Translation,7
9,ノイズキャンセリング ヘッドホン 700,ja,Audio,Exact Translation,2
99,Buy ワイヤレス ゲーミングマウス RGB Cheap,ja,Mixed,SEO Spam,-1
7,Noise Cancelling Headphones 700,en,Audio,Original,2
69,Buy Bouteille Eau Acier Inoxydable 32oz Cheap,fr,Mixed,SEO Spam,-1
104,gafas de realidad virtual pro 2022,es,Mixed,Formatting,-1
85,noise cancelling headphones 700 2023,en,Mixed,Formatting,-1
55,Virtual Reality Headset Pro,en,Gaming,Original,10
51,ステンレス水筒 32オンス,ja,Kitchen,Exact Translation,9
102,botella de agua de acero inoxidable 32oz 2024,es,Mixed,Formatting,-1
47,Running Shose Men Size 10,en,Apparel,Typo,8
73,Buy Smart TV 4K Ultra HD Cheap,es,Mixed,SEO Spam,-1
62,Mousepad Standard Size,en,Accessories,Unique,12
106,smart tv 4k ultra hd 2022,es,Mixed,Formatting,-1
84,Buy Zapatillas de Running Hombre Talla 10 Cheap,es,Mixed,SEO Spam,-1
42,Bluetooth Speaker Waterproof,en,Audio,Abbreviation/Phonetic,7
59,Virtual Realtiy Headset Pro,en,Gaming,Typo,10
49,Stainless Steel Water Bottle 32oz,en,Kitchen,Original,9
92,souris gamer sans fil rgb 2022,fr,Mixed,Formatting,-1
58,Casque Réalité Virtuelle Pro,fr,Gaming,Exact Translation,10
76,ergonomic office chair mesh 2022,en,Mixed,Formatting,-1
33,人間工学 オフィスチェア メッシュ,ja,Furniture,Exact Translation,6
100,virtual reality headset pro 2022,en,Mixed,Formatting,-1
60,Virtual Reality Headset Pro,en,Gaming,Abbreviation/Phonetic,10
64,Monitor Stand Riser,en,Accessories,Unique,14
90,Buy Bluetooth Speaker Waterproof Cheap,en,Mixed,SEO Spam,-1
38,Altavoz Bluetooth Impermeable,es,Audio,Exact Translation,7
30,4K Ultra HD Smart TV,en,TV/Video,Abbreviation/Phonetic,5
95,virtual reality headset pro 2024,en,Mixed,Formatting,-1
2,Ratón Gaming Inalámbrico RGB,es,Electronics,Exact Translation,1
53,Stainless SteelW ater Bottle 32oz,en,Kitchen,Typo,9
22,Smartphone 128Go Noir,fr,Mobiles,Exact Translation,4
3,ワイヤレス ゲーミングマウス RGB,ja,Electronics,Exact Translation,1
24,Smartfone 128GB Black,en,Mobiles,Abbreviation/Phonetic,4
88,casque réduction bruit 700 2024,fr,Mixed,Formatting,-1
97,Buy Running Shoes Men Size 10 Cheap,en,Mixed,SEO Spam,-1
75,teclado mecánico switches azules 2024,es,Mixed,Formatting,-1
87,noise cancelling headphones 700 2023,en,Mixed,Formatting,-1
83,Buy Stainless Steel Water Bottle 32oz Cheap,en,Mixed,SEO Spam,-1
21,スマートフォン 128GB ブラック,ja,Mobiles,Exact Translation,4
61,Generic USB Cable 1m,en,Accessories,Unique,11
72,teclado mecánico switches azules 2024,es,Mixed,Formatting,-1
15,メカニカルキーボード 青軸,ja,Computers,Exact Translation,3
93,Buy Smartphone 128Go Noir Cheap,fr,Mixed,SEO Spam,-1
52,Bouteille Eau Acier Inoxydable 32oz,fr,Kitchen,Exact Translation,9
103,Buy Smart TV 4K Ultra Haute Définition Cheap,fr,Mixed,SEO Spam,-1
